transactionAmount,timeOfDay,transactionFrequency,dayOfWeek,labels
35.1,1,3,3,0
218.12,5,8,7,0
24.15,1,7,6,0
10.96,10,9,3,0
15.44,20,6,3,0
42.73,1,3,2,0
319.02,3,11,7,1
117.84,3,4,2,0
252.22,0,6,7,1
158.64,20,10,3,0
293.3,5,11,7,1
170.96,5,12,6,1
50.94,5,8,2,0
187.59,22,10,5,0
75.72,22,1,5,0
116.68,14,2,3,0
96.54,23,4,1,0
27.01,8,3,3,0
217.52,21,5,6,0
302.92,10,9,1,0
72.48,5,9,1,0
160.37,22,6,5,0
451.17,0,11,4,1
277.37,1,2,4,0
86.51,20,8,3,0
5.11,16,3,5,0
58.26,14,6,6,0
240.22,17,8,2,0
36.77,6,3,6,0
70.75,14,2,3,0
227.08,19,1,4,0
106.6,1,2,6,0
96.02,0,17,2,1
134.8,3,12,7,1
178.84,14,3,5,0
309.41,5,9,5,1
162.71,4,14,2,1
312.14,0,13,5,1
159.07,20,5,2,0
36.42,10,2,6,0
294.58,4,12,1,1
46.48,21,5,2,0
249.87,1,6,4,1
409.52,0,9,5,1
4.43,21,2,4,0
54.6,1,16,7,1
17.14,14,2,7,0
31.44,12,5,4,0
192.62,-99,3,6,0
48.17,20,4,4,0
44.19,6,7,5,0
97.15,21,6,2,0
47.63,13,2,1,0
125.89,2,5,7,0
101.87,5,4,6,0
119.97,14,8,2,0
306.29,3,9,5,1
60.04,0,17,3,1
51.48,3,6,2,0
159.43,20,6,-99,0
72.35,14,3,3,0
107.01,0,7,1,1
104.07,8,5,3,0
128.3,14,10,7,0
106.36,14,2,6,0
143.34,14,3,5,0
142.29,1,9,3,0
229.95,18,7,2,0
121.3,3,6,-99,1
121.89,5,7,4,1
181.6,4,5,2,0
67.18,18,7,2,0
21.46,0,8,7,0
211.18,7,9,2,0
49.25,22,7,1,0
189.87,14,3,2,0
71.52,1,18,6,1
245.24,14,8,5,0
144.69,19,4,4,0
164.58,21,4,6,0
84.91,1,13,4,1
40.48,2,2,3,0
261.13,17,7,1,0
65.1,10,3,7,0
116.42,3,9,2,0
63.66,14,4,5,0
158.14,0,8,7,0
201.33,3,4,2,1
143.29,18,5,7,0
127.53,5,11,5,1
8.54,7,4,1,0
268.08,0,2,6,0
117.64,23,7,7,0
107.14,13,8,4,0
121.11,7,3,5,0
41.72,22,5,1,0
101.82,12,10,7,0
318.19,2,18,3,1
1.3,0,18,1,1
268.62,6,6,6,0
-99,7,9,7,0
9.71,8,10,6,0
293.02,5,1,1,0
322.67,5,11,1,1
165.73,16,6,5,0
46.34,1,8,3,0
185.39,23,1,7,0
158.05,18,4,7,0
8.14,19,3,7,0
234.29,1,-99,6,1
151.75,1,5,7,0
149.46,11,7,3,0
166.39,10,5,1,0
28.98,16,7,7,0
30.68,10,6,3,0
25.84,16,5,3,0
100.8,2,11,5,1
60.83,16,2,5,0
184.17,14,4,3,0
146.54,5,12,3,1
131.47,18,-99,1,0
178.98,18,7,4,0
19.88,21,6,2,0
67.43,5,4,6,0
128.47,4,7,5,0
230.96,9,2,1,0
116.04,7,1,7,0
111.82,19,8,6,0
170.71,14,5,2,0
4.34,18,7,1,0
437,1,10,4,1
85.91,5,11,3,1
247.97,2,4,4,0
169.91,8,7,5,0
115.91,4,2,6,0
5.45,19,2,1,0
101.65,3,10,-99,1
104.92,16,7,3,0
135.88,11,8,7,0
65.93,2,2,6,0
4.19,5,7,4,0
122.57,11,4,5,0
121.77,4,7,2,0
1.59,2,10,2,1
1.28,17,6,2,0
221.53,17,2,3,0
115.63,7,1,1,0
59.97,20,5,4,0
55.82,10,2,5,0
144.81,20,7,1,0
66.46,15,6,3,0
279.02,3,12,1,1
154.96,4,4,4,0
239.23,12,10,5,0
152.09,3,15,5,1
98.74,7,5,6,0
177.36,20,8,2,0
262.92,21,6,5,0
41,7,-99,3,0
74.73,16,5,1,0
221.32,0,4,3,1
93.99,1,4,1,0
143.89,21,1,7,0
120.12,4,5,6,0
41.67,20,3,1,0
176.48,16,6,6,0
114.08,8,1,3,0
62.71,3,6,7,0
110.55,15,3,4,0
227.06,20,6,7,0
149.91,19,8,2,0
60.3,15,5,3,0
79,22,7,3,0
73.31,14,3,1,0
-99,4,10,3,0
56.58,10,3,5,0
146.45,8,10,4,0
12.14,23,3,7,0
-99,9,5,2,0
197.72,1,19,-99,1
259.62,5,18,3,1
146.69,4,8,4,0
111.21,1,5,2,0
249.65,8,8,2,0
41.35,2,10,7,0
71.89,15,5,3,0
265.58,2,11,5,1
56.22,2,9,1,1
175.67,22,4,1,0
262.97,3,5,1,0
37.5,9,9,6,0
5.2,11,2,1,0
147.75,13,8,4,0
222.22,18,6,2,0
-99,11,7,2,0
177.09,0,4,7,1
127.91,6,2,5,0
175.21,-99,3,7,0
73.97,0,1,5,0
97.4,19,7,1,0
109.67,4,9,3,0
114.41,16,6,1,0
285.62,8,6,3,0
210.03,23,7,4,0
63.59,2,4,5,0
147.2,4,4,2,0
41.46,1,14,4,1
47.64,14,9,3,0
149.59,2,8,4,1
111.89,1,13,2,1
40.48,5,8,2,0
362.9,3,4,6,0
181.95,4,1,3,0
44.34,21,2,5,0
